product_id,product_name,price,sales_link,image_link,formulation
0,궁중비책 수딩젤 150ML,14400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000125254&dispCatNo=1000001000300140001&trackingCd=Result_1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0012/A00000012525404ko.jpg?l=ko,젤
1,닥터지 레드 블레미쉬 클리어 수딩 바디 미스트 155ml,22000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000140750&dispCatNo=1000001000300150003&trackingCd=Result_1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0014/A00000014075005ko.jpg?l=ko,미스트
2,비판톨 나이트케어 립크림,8000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016066&dispCatNo=1000001000300080005&trackingCd=Result_1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0001/A00000001606611ko.jpg?l=ko,크림
3,비판톨 데이케어 립스틱,9000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016065&dispCatNo=1000001000300080004&trackingCd=Result_1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0001/A00000001606506ko.jpg?l=ko,스틱
4,비판톨 데이케어 립스틱 4.5g 더블,13800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000197983&dispCatNo=1000001000300080004&trackingCd=Result_2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0019/A00000019798307ko.jpg?l=ko,스틱
5,궁중비책 프리뮨 모이스처 로션 250ml,18900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211839&dispCatNo=1000001000300140001&trackingCd=Result_2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021183901ko.jpg?l=ko,로션
6,궁중비책 프리뮨 수딩 파우더 25g,20000,"https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164906&dispCatNo=1000001000300140003,1000001000300200001&trackingCd=Result_1",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016490602ko.jpg?l=ko,파우더
7,아토앤오투 옥시젠 로션 160g,22500,"https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000158440&dispCatNo=1000001000300140001,1000001000300200001&trackingCd=Result_1",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/B00000015844001ko.jpg?l=ko,로션
8,아비노 베이비 더멕사 아토 크림 206g,20800,"https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175961&dispCatNo=1000001000300140002,1000001000300200001&trackingCd=Result_1",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A00000017596101ko.jpg?l=ko,크림
9,아토팜 더마수딩 파우더 23g,14000,"https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104072&dispCatNo=1000001000300140003,1000001000300200001&trackingCd=Result_1",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0010/A00000010407207ko.jpg?l=ko,파우더
